Data;Ativo Total;Ativo Circulante;Caixa e Equivalentes de Caixa;Aplicacoes Financeiras;Contas a Receber_1;Estoques_1;Tributos a Recuperar;Outros Ativos Circulantes;Ativo Realizavel a Longo Prazo;Investimentos;Imobilizado;Intangivel;Passivo Total;Passivo Circulante;Obrigacoes Sociais e Trabalhistas;Fornecedores;Obrigacoes Fiscais;Emprestimos e Financiamentos_1;Outros_1;Passivo NaoCirculante;Emprestimos e Financiamentos;Outros;Tributos Diferidos;Provisoes;Participacao dos Acionistas Nao Controladores;Patrimonio Liquido;Capital Social Realizado;Reservas de Capital;Reservas de Lucros;Lucros/Prejuizos Acumulados;Receita Liquida de Vendas e/ou Servicos;Custo de Bens e/ou Servicos Vendidos;Resultado Bruto;Despesas Com Vendas;Despesas Gerais e Administrativas;Outras Receitas Operacionais;Outras Despesas Operacionais;Resultado da Equivalencia Patrimonial;Financeiras;Receitas Financeiras;Despesas Financeiras;Resultado Antes Tributatacao/Participacoes;Provisao para IR e Contribuicao Social;IR Diferido;Lucro/Prejuizo do Periodo;Adj Close;IBOV;Resultado;Decisao;Empresa
31/12/2012;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06297199973437118;-0.07546922168263548;0.13844122141700665;2;EGIE3
31/12/2012;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.014018740954372944;-0.07546922168263548;0.061450480728262535;2;CPFE3
31/12/2012;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.042939186694617604;-0.07546922168263548;0.11840840837725308;2;ELET6
31/12/2012;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.23076505337516107;-0.07546922168263548;0.30623427505779655;2;EMBR3
31/12/2012;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.010408274404196005;-0.07546922168263548;0.08587749608683148;2;ENBR3
31/12/2012;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.1309417339979504;-0.07546922168263548;-0.055472512315314915;0;ENEV3
31/12/2012;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.12989451304468935;-0.07546922168263548;0.20536373472732483;2;COGN3
31/12/2012;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.09892881592144742;-0.07546922168263548;0.1743980376040829;2;ENGI11
31/12/2012;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.08865681342129483;-0.07546922168263548;0.1641260351039303;2;EQTL3
31/12/2012;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05564182715093091;-0.07546922168263548;0.1311110488335664;2;EZTC3
